date,round,num,plant,strip,sample,tube_label,fresh_weight,leaf_area,dry_weight,SLA,LDMC,notes
7/31/2025,1,1,wide,1,1,w1-1,0.1410,9.081,0.0291,,,"each sample will have tubes n,p,c"
7/31/2025,1,2,wide,1,2,w1-2,0.1335,9.679,0.0328,,,
7/31/2025,1,3,wide,1,3,w1-3,0.3885,12.839,0.0748,,,
7/31/2025,1,4,wide,1,4,w1-4,0.2250,15.030,0.0536,,,
7/31/2025,1,5,cent,1,1,c1-1,0.0778,4.687,0.0203,,,
7/31/2025,1,6,cent,1,2,c1-2,0.1015,3.898,0.0252,,,
7/31/2025,1,7,cent,1,3,c1-3,0.0536,3.118,0.0146,,,
7/31/2025,1,8,cent,1,4,c1-4,0.0762,6.404,0.0212,,,
7/31/2025,1,9,dican,1,1,di1-1,0.0460,2.306,0.0126,,,
7/31/2025,1,10,dican,1,2,di1-2,0.0914,4.135,0.0282,,,
7/31/2025,1,11,dican,1,3,di1-3,0.1603,6.434,0.0427,,,
7/31/2025,1,12,dican,1,4,di1-4,0.0727,3.353,0.0242,,,
7/31/2025,1,13,silky,1,1,s1-1,0.0278,1.749,0.0090,,,
7/31/2025,1,14,silky,1,2,s1-2,0.0317,1.837,0.0120,,,
7/31/2025,1,15,silky,1,3,s1-3,0.0304,2.049,0.0100,,,
7/31/2025,1,16,silky,1,4,s1-4,0.0329,1.855,0.0105,,,
7/31/2025,1,17,dog,1,1,do1-1,0.1159,4.505,0.0266,,,
7/31/2025,1,18,dog,1,2,do1-2,0.0963,4.380,0.0256,,,
7/31/2025,1,19,dog,1,3,do1-3,0.0782,3.379,0.0185,,,
7/31/2025,1,20,dog,1,4,do1-4,0.0456,2.102,0.0129,,,
7/31/2025,1,21,wide,2,1,w2-1,0.2688,15.752,0.0609,,,
7/31/2025,1,22,wide,2,2,w2-2,0.1485,8.625,0.0352,,,
7/31/2025,1,23,wide,2,3,w2-3,0.1170,5.859,0.0291,,,
7/31/2025,1,24,wide,2,4,w2-4,0.3337,28.294,0.0831,,,
7/31/2025,1,25,cent,2,1,c2-1,0.1149,7.703,0.0344,,,
7/31/2025,1,26,dican,2,2,di2-5,0.1994,8.524,0.0554,,,actually is dicanthelium (other name c2-2)
7/31/2025,1,27,cent,2,3,c2-3,0.1125,6.877,0.0289,,,
7/31/2025,1,28,cent,2,4,c2-4,0.0853,5.374,0.0228,,,
7/31/2025,1,29,dican,2,1,di2-1,0.1102,4.687,0.0290,,,
7/31/2025,1,30,dican,2,2,di2-2,0.0798,3.898,0.0211,,,
7/31/2025,1,31,dican,2,3,di2-3,0.0724,3.118,0.0196,,,
7/31/2025,1,32,dican,2,4,di2-4,0.1392,6.404,0.0340,,,
7/31/2025,1,33,silky,2,1,s2-1,0.0200,1.216,0.0063,,,
7/31/2025,1,34,silky,2,2,s2-2,0.0336,1.696,0.0107,,,
7/31/2025,1,35,silky,2,3,s2-3,0.0395,2.187,0.0143,,,
7/31/2025,1,36,silky,2,4,s2-4,0.0269,1.579,0.0092,,,
7/31/2025,1,37,dog,2,1,do2-1,0.0637,2.228,0.0230,,,
7/31/2025,1,38,dog,2,2,do2-2,0.1362,5.434,0.0333,,,
7/31/2025,1,39,dog,2,3,do2-3,0.1530,6.359,0.0461,,,
7/31/2025,1,40,dog,2,4,do2-4,0.2782,7.627,0.0731,,,
8/4/2025,1,41,wide,3,1,w3-1,0.2758,16.456,0.0599,,,
8/4/2025,1,42,wide,3,2,w3-2,0.4395,27.720,0.1041,,,
8/4/2025,1,43,wide,3,3,w3-3,0.4020,21.083,0.1173,,,
8/4/2025,1,44,wide,3,4,w3-4,0.1826,12.062,0.0538,,,
8/4/2025,1,45,cent,3,1,c3-1,0.0809,4.871,0.0209,,,
8/4/2025,1,46,cent,3,2,c3-2,0.0885,4.919,0.0257,,,
8/4/2025,1,47,cent,3,3,c3-3,0.0671,4.028,0.0202,,,
8/4/2025,1,48,cent,3,4,c3-4,0.0539,3.310,0.0158,,,
8/4/2025,1,49,dican,3,1,di3-1,0.0854,3.811,0.0228,,,
8/4/2025,1,50,dican,3,2,di3-2,0.1348,5.828,0.0406,,,
8/4/2025,1,51,dican,3,3,di3-3,0.0829,3.841,0.0253,,,
8/4/2025,1,52,dican,3,4,di3-4,0.0740,3.517,0.0206,,,
8/4/2025,1,53,silky,3,1,s3-1,0.0309,1.542,0.0103,,,
8/4/2025,1,54,silky,3,2,s3-2,0.0312,1.645,0.0113,,,
8/4/2025,1,55,silky,3,3,s3-3,0.0485,2.400,0.0175,,,
8/4/2025,1,56,silky,3,4,s3-4,0.0352,1.916,0.0136,,,
8/4/2025,1,57,dog,3,1,do3-1,0.0504,2.288,0.0134,,,
8/4/2025,1,58,dog,3,2,do3-2,0.0403,1.955,0.0127,,,
8/4/2025,1,59,dog,3,3,do3-3,0.0448,2.363,0.0137,,,
8/4/2025,1,60,dog,3,4,do3-4,0.0614,3.761,0.0178,,,
8/4/2025,1,61,wide,4,1,w4-1,0.1145,7.236,0.0316,,,
8/4/2025,1,62,wide,4,2,w4-2,0.3871,18.731,0.0813,,,"decimal error, fixed from .03871"
8/4/2025,1,63,wide,4,3,w4-3,0.4465,24.269,0.0978,,,"decimal error, fixed from .04465"
8/4/2025,1,64,wide,4,4,w4-4,0.1945,13.466,0.0416,,,
8/4/2025,1,65,cent,4,1,c4-1,0.1012,5.558,0.0290,,,
8/4/2025,1,66,cent,4,2,c4-2,0.1272,7.585,0.0314,,,
8/4/2025,1,67,cent,4,3,c4-3,0.0611,3.939,0.0196,,,
8/4/2025,1,68,cent,4,4,c4-4,0.1064,6.407,0.0279,,,
8/4/2025,1,69,dican,4,1,di4-1,0.0768,3.653,0.0206,,,
8/4/2025,1,70,dican,4,2,di4-2,0.0671,3.777,0.0247,,,
8/4/2025,1,71,dican,4,3,di4-3,0.1529,6.891,0.0431,,,
8/4/2025,1,72,dican,4,4,di4-4,0.1647,8.029,0.0447,,,"decimal point error, fixed from .01647 for fresh weight "
8/4/2025,1,73,silky,4,1,s4-1,0.0330,1.883,0.0138,,,
8/4/2025,1,74,silky,4,2,s4-2,0.0280,1.641,0.0102,,,
8/4/2025,1,75,silky,4,3,s4-3,0.0468,2.769,0.0155,,,
8/4/2025,1,76,silky,4,4,s4-4,0.0649,3.297,,,,
8/4/2025,1,77,dog,4,1,do4-1,0.0395,1.903,0.0107,,,
8/4/2025,1,78,dog,4,2,do4-2,0.0374,1.727,0.0099,,,
8/4/2025,1,79,dog,4,3,do4-3,0.0261,1.214,0.0072,,,
8/4/2025,1,80,dog,4,4,do4-4,0.0363,1.576,0.0102,,,
8/4/2025,1,81,wide,5,1,w5-1,0.2100,13.136,0.0542,,,
8/4/2025,1,82,wide,5,2,w5-2,0.6332,35.351,0.1537,,,
8/4/2025,,83,wide,5,3,w5-3,,,,,,
8/4/2025,,84,wide,5,4,w5-4,,,,,,
8/4/2025,1,85,cent,5,1,c5-1,0.0479,3.424,0.0160,,,
8/4/2025,1,86,cent,5,2,c5-2,0.1065,6.694,0.0311,,,
8/4/2025,,87,cent,5,3,c5-3,,,,,,
8/4/2025,,88,cent,5,4,c5-4,,,,,,
8/4/2025,1,89,dican,5,1,di5-1,0.1188,5.488,0.0353,,,
8/4/2025,1,90,dican,5,2,di5-2,0.2006,9.062,0.0557,,,
8/4/2025,,91,dican,5,3,di5-3,,,,,,
8/4/2025,,92,dican,5,4,di5-4,,,,,,
8/4/2025,1,93,silky,5,1,s5-1,0.0374,2.103,0.0133,,,
8/4/2025,1,94,silky,5,2,s5-2,0.0258,1.630,0.0103,,,
8/4/2025,,95,silky,5,3,s5-3,,,,,,
8/4/2025,,96,silky,5,4,s5-4,,,,,,
8/4/2025,1,97,dog,5,1,do5-1,0.0387,2.089,0.0137,,,
8/4/2025,1,98,dog,5,2,do5-2,0.0700,3.335,0.0244,,,
8/4/2025,,99,dog,5,3,do5-3,,,,,,
8/4/2025,,100,dog,5,4,do5-4,,,,,,
8/4/2025,1,101,wide,6,1,w6-1,0.1875,11.832,0.0426,,,
8/4/2025,1,102,wide,6,2,w6-2,0.0992,6.715,0.0231,,,
8/4/2025,,103,wide,6,3,w6-3,,,,,,
8/4/2025,,104,wide,6,4,w6-4,,,,,,
8/4/2025,1,105,cent,6,1,c6-1,0.0755,4.891,0.0224,,,
8/4/2025,1,106,cent,6,2,c6-2,0.0800,4.659,0.0254,,,
8/4/2025,,107,cent,6,3,c6-3,,,,,,
8/4/2025,,108,cent,6,4,c6-4,,,,,,
8/4/2025,1,109,dican,6,1,di6-1,0.0938,4.707,0.0259,,,
8/4/2025,1,110,dican,6,2,di6-2,0.1409,6.520,0.0471,,,
8/4/2025,,111,dican,6,3,di6-3,,,,,,
8/4/2025,,112,dican,6,4,di6-4,,,,,,
8/4/2025,1,113,silky,6,1,s6-1,0.0600,3.064,0.0240,,,
8/4/2025,1,114,silky,6,2,s6-2,0.0503,2.623,0.0205,,,
8/4/2025,,115,silky,6,3,s6-3,,,,,,
8/4/2025,,116,silky,6,4,s6-4,,,,,,
8/4/2025,1,117,dog,6,1,do6-1,0.0249,1.535,0.0071,,,
8/4/2025,1,118,dog,6,2,do6-2,0.0362,2.671,0.0103,,,
8/4/2025,,119,dog,6,3,do6-3,,,,,,
8/4/2025,,120,dog,6,4,do6-4,,,,,,
9/22/2025,2,1,wide,1,1,w1-1,0.1623,9.583,0.0422,,,
9/22/2025,2,2,wide,1,2,w1-2,0.2010,13.961,0.0539,,,
9/22/2025,2,3,wide,1,3,w1-3,0.2845,19.115,0.0777,,,
9/22/2025,2,4,wide,1,4,w1-4,0.1305,8.789,0.0392,,,
9/22/2025,2,5,cent,1,1,c1-1,0.0674,4.612,0.0212,,,
9/22/2025,2,6,cent,1,2,c1-2,0.0735,4.932,0.0221,,,
9/22/2025,2,7,cent,1,3,c1-3,0.1005,7.009,0.0274,,,
9/22/2025,2,8,cent,1,4,c1-4,0.0626,4.186,0.0199,,,
9/22/2025,,9,dican,1,1,di1-1,,,,,,
9/22/2025,,10,dican,1,2,di1-2,,,,,,
9/22/2025,,11,dican,1,3,di1-3,,,,,,
9/22/2025,,12,dican,1,4,di1-4,,,,,,
9/22/2025,2,13,silky,1,1,s1-1,0.0285,2.024,0.0133,,,
9/22/2025,2,14,silky,1,2,s1-2,0.0401,2.629,0.0172,,,
9/22/2025,2,15,silky,1,3,s1-3,0.0252,1.670,0.0102,,,
9/22/2025,2,16,silky,1,4,s1-4,0.0166,1.258,0.0073,,,
9/22/2025,2,17,dog,1,1,do1-1,0.0495,1.980,0.0169,,,
9/22/2025,2,18,dog,1,2,do1-2,0.0377,1.619,0.0122,,,
9/22/2025,2,19,dog,1,3,do1-3,0.0191,1.003,0.0066,,,
9/22/2025,2,20,dog,1,4,do1-4,0.0896,4.667,0.0267,,,
9/22/2025,2,21,wide,2,1,w2-1,0.3255,21.001,0.0773,,,
9/22/2025,2,22,wide,2,2,w2-2,0.2959,19.497,0.0824,,,
9/22/2025,2,23,wide,2,3,w2-3,0.2889,16.122,0.0664,,,
9/22/2025,2,24,wide,2,4,w2-4,0.2710,17.048,0.0684,,,
9/22/2025,2,25,cent,2,1,c2-1,0.0926,5.487,0.0276,,,
9/22/2025,2,26,cent,2,2,c2-2,0.0401,2.556,0.0126,,,
9/22/2025,2,27,cent,2,3,c2-3,0.0603,3.909,0.0182,,,
9/22/2025,2,28,cent,2,4,c2-4,0.0826,5.117,0.0246,,,
9/22/2025,,29,dican,2,1,di2-1,,,,,,
9/22/2025,,30,dican,2,2,di2-2,,,,,,
9/22/2025,,31,dican,2,3,di2-3,,,,,,
9/22/2025,,32,dican,2,4,di2-4,,,,,,
9/22/2025,2,33,silky,2,1,s2-1,0.0183,1.221,0.0082,,,
9/22/2025,2,34,silky,2,2,s2-2,0.0190,1.091,0.0081,,,
9/22/2025,2,35,silky,2,3,s2-3,0.0091,0.713,0.0036,,,
9/22/2025,2,36,silky,2,4,s2-4,0.0297,1.809,0.0117,,,
9/22/2025,2,37,dog,2,1,do2-1,0.0410,2.408,0.0134,,,
9/22/2025,2,38,dog,2,2,do2-2,0.0697,2.700,0.0235,,,
9/22/2025,2,39,dog,2,3,do2-3,0.1075,4.912,0.0352,,,
9/22/2025,2,40,dog,2,4,do2-4,0.0522,2.123,0.0169,,,
9/22/2025,2,41,wide,3,1,w3-1,0.3027,19.749,0.0853,,,
9/22/2025,2,42,wide,3,2,w3-2,0.1989,13.605,0.0581,,,
9/22/2025,2,43,wide,3,3,w3-3,0.1218,7.917,0.0356,,,
9/22/2025,2,44,wide,3,4,w3-4,,,,,,
9/22/2025,2,45,cent,3,1,c3-1,0.0802,4.982,0.0258,,,
9/22/2025,2,46,cent,3,2,c3-2,0.1096,6.762,0.0341,,,
9/22/2025,2,47,cent,3,3,c3-3,0.0873,5.280,0.0269,,,
9/22/2025,,48,cent,3,4,c3-4,,,,,,
9/22/2025,,49,dican,3,1,di3-1,,,,,,
9/22/2025,,50,dican,3,2,di3-2,,,,,,
9/22/2025,,51,dican,3,3,di3-3,,,,,,
9/22/2025,,52,dican,3,4,di3-4,,,,,,
9/22/2025,2,53,silky,3,1,s3-1,0.0234,1.471,0.0099,,,
9/22/2025,2,54,silky,3,2,s3-2,0.0294,2.000,0.0136,,,
9/22/2025,2,55,silky,3,3,s3-3,0.0298,1.909,0.0126,,,
9/22/2025,,56,silky,3,4,s3-4,,,,,,
9/22/2025,2,57,dog,3,1,do3-1,0.0494,2.001,0.0165,,,
9/22/2025,2,58,dog,3,2,do3-2,0.0331,1.432,0.0127,,,
9/22/2025,2,59,dog,3,3,do3-3,0.0321,1.700,0.0115,,,
9/22/2025,,60,dog,3,4,do3-4,,,,,,
9/22/2025,2,61,wide,4,1,w4-1,0.3864,24.054,0.1083,,,
9/22/2025,2,62,wide,4,2,w4-2,0.1673,12.249,0.0505,,,
9/22/2025,2,63,wide,4,3,w4-3,0.3533,20.050,0.1016,,,
9/22/2025,,64,wide,4,4,w4-4,,,,,,
9/22/2025,2,65,cent,4,1,c4-1,0.0573,3.523,0.0181,,,
9/22/2025,2,66,cent,4,2,c4-2,0.0618,4.355,0.0192,,,
9/22/2025,2,67,cent,4,3,c4-3,0.0659,4.615,0.0187,,,
9/22/2025,,68,cent,4,4,c4-4,,,,,,
9/22/2025,,69,dican,4,1,di4-1,,,,,,
9/22/2025,,70,dican,4,2,di4-2,,,,,,
9/22/2025,,71,dican,4,3,di4-3,,,,,,
9/22/2025,,72,dican,4,4,di4-4,,,,,,
9/22/2025,2,73,silky,4,1,s4-1,0.0242,1.529,0.0108,,,
9/22/2025,2,74,silky,4,2,s4-2,0.0316,1.913,0.0132,,,
9/22/2025,2,75,silky,4,3,s4-3,0.0164,1.299,0.0073,,,
9/22/2025,,76,silky,4,4,s4-4,,,,,,
9/22/2025,2,77,dog,4,1,do4-1,0.0324,1.786,0.0110,,,
9/22/2025,2,78,dog,4,2,do4-2,0.0393,2.665,0.0136,,,
9/22/2025,2,79,dog,4,3,do4-3,0.0602,3.848,0.0207,,,
9/22/2025,,80,dog,4,4,do4-4,,,,,,
9/22/2025,2,81,wide,5,1,w5-1,0.1228,9.026,0.0365,,,
9/22/2025,2,82,wide,5,2,w5-2,0.1550,10.155,0.0401,,,
9/22/2025,2,83,wide,5,3,w5-3,0.1478,11.025,0.0404,,,
9/22/2025,,84,wide,5,4,w5-4,,,,,,
9/22/2025,2,85,cent,5,1,c5-1,0.1323,7.223,0.0402,,,
9/22/2025,2,86,cent,5,2,c5-2,0.1251,7.517,0.0345,,,
9/22/2025,2,87,cent,5,3,c5-3,0.0423,2.798,0.0136,,,
9/22/2025,,88,cent,5,4,c5-4,,,,,,
9/22/2025,,89,dican,5,1,di5-1,,,,,,
9/22/2025,,90,dican,5,2,di5-2,,,,,,
9/22/2025,,91,dican,5,3,di5-3,,,,,,
9/22/2025,,92,dican,5,4,di5-4,,,,,,
9/22/2025,2,93,silky,5,1,s5-1,0.0312,1.918,0.0131,,,
9/22/2025,2,94,silky,5,2,s5-2,0.0236,1.707,0.0103,,,
9/22/2025,2,95,silky,5,3,s5-3,0.0849,4.448,0.0356,,,
9/22/2025,,96,silky,5,4,s5-4,,,,,,
9/22/2025,2,97,dog,5,1,do5-1,0.0237,1.262,0.0078,,,
9/22/2025,2,98,dog,5,2,do5-2,0.0205,0.931,0.0083,,,
9/22/2025,2,99,dog,5,3,do5-3,0.0395,2.012,0.0135,,,
9/22/2025,,100,dog,5,4,do5-4,,,,,,
9/22/2025,2,101,wide,6,1,w6-1,0.2537,15.685,0.0701,,,
9/22/2025,2,102,wide,6,2,w6-2,0.1291,8.769,0.0398,,,
9/22/2025,2,103,wide,6,3,w6-3,0.1605,11.948,0.0422,,,
9/22/2025,,104,wide,6,4,w6-4,,,,,,
9/22/2025,2,105,cent,6,1,c6-1,0.0759,4.629,0.0237,,,
9/22/2025,2,106,cent,6,2,c6-2,0.1016,6.112,0.0283,,,
9/22/2025,2,107,cent,6,3,c6-3,0.0741,4.792,0.0223,,,
9/22/2025,,108,cent,6,4,c6-4,,,,,,
9/22/2025,,109,dican,6,1,di6-1,,,,,,
9/22/2025,,110,dican,6,2,di6-2,,,,,,
9/22/2025,,111,dican,6,3,di6-3,,,,,,
9/22/2025,,112,dican,6,4,di6-4,,,,,,
9/22/2025,2,113,silky,6,1,s6-1,0.0183,1.252,0.0073,,,
9/22/2025,2,114,silky,6,2,s6-2,0.0433,2.615,0.0195,,,
9/22/2025,2,115,silky,6,3,s6-3,0.0212,1.493,0.0092,,,
9/22/2025,,116,silky,6,4,s6-4,,,,,,
9/22/2025,2,117,dog,6,1,do6-1,0.0421,2.095,0.0153,,,
9/22/2025,2,118,dog,6,2,do6-2,0.0281,1.778,0.0092,,,
9/22/2025,2,119,dog,6,3,do6-3,0.0299,1.391,0.0102,,,
9/22/2025,,120,dog,6,4,do6-4,,,,,,
